TIENDA;DIRECCION CAMARA Y COMERCIO;CIUDAD/MUNICIPIO;DEPARTAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG SUBA LOMBARDIA;AV CRA 104 NO. 140 C - 11;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG SUBA CARMEN NORT;Calle 127 b # 93 c - 65;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG BC 86;CL 86 B NO. 49 D - 34;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG CALLE 100 ESTORI;CL 100 NO. 50 - 64;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG LA MERCED NORTE;CR 29 A NO. 71 A - 41;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG EL REFUGIO;CL 71 BIS NO. 86 A - 16;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG ANDINO;AK 11 NO. 82 - 20;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG SUBA CAMPANELLA;CR 99 NO. 154 - 57;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG UNIC DE OCCIDE;CR 111 C NO. 86 - 05 LC 1 - 34;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG LA EUROPA;AK 72 NO. 67 - 92;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
